value,id,unit
7.27,PRESSURE_SENSOR_001,bar
5.82,PRESSURE_SENSOR_001,bar
6.56,PRESSURE_SENSOR_001,bar
4.1,PRESSURE_SENSOR_001,bar
7.76,PRESSURE_SENSOR_001,bar
3.15,PRESSURE_SENSOR_001,bar
5.07,PRESSURE_SENSOR_001,bar
5.59,PRESSURE_SENSOR_001,bar
6.72,PRESSURE_SENSOR_001,bar
3.08,PRESSURE_SENSOR_001,bar
4.3,PRESSURE_SENSOR_001,bar
4.55,PRESSURE_SENSOR_001,bar
7.68,PRESSURE_SENSOR_001,bar
2.63,PRESSURE_SENSOR_001,bar
7.44,PRESSURE_SENSOR_001,bar
5.3,PRESSURE_SENSOR_001,bar
7.66,PRESSURE_SENSOR_001,bar
3.73,PRESSURE_SENSOR_001,bar
6.33,PRESSURE_SENSOR_001,bar
6.41,PRESSURE_SENSOR_001,bar
6.96,PRESSURE_SENSOR_001,bar
5.25,PRESSURE_SENSOR_001,bar
4.14,PRESSURE_SENSOR_001,bar
4.38,PRESSURE_SENSOR_001,bar
6.33,PRESSURE_SENSOR_001,bar
2.56,PRESSURE_SENSOR_001,bar
2.26,PRESSURE_SENSOR_001,bar
4.98,PRESSURE_SENSOR_001,bar
3.85,PRESSURE_SENSOR_001,bar
4.47,PRESSURE_SENSOR_001,bar
4.48,PRESSURE_SENSOR_001,bar
4.31,PRESSURE_SENSOR_001,bar
3.56,PRESSURE_SENSOR_001,bar
7.29,PRESSURE_SENSOR_001,bar
5.39,PRESSURE_SENSOR_001,bar
6.34,PRESSURE_SENSOR_001,bar
3.61,PRESSURE_SENSOR_001,bar
3.25,PRESSURE_SENSOR_001,bar
2.6,PRESSURE_SENSOR_001,bar
5.66,PRESSURE_SENSOR_001,bar
2.77,PRESSURE_SENSOR_001,bar
2.04,PRESSURE_SENSOR_001,bar
5.08,PRESSURE_SENSOR_001,bar
5.3,PRESSURE_SENSOR_001,bar
4.31,PRESSURE_SENSOR_001,bar
4.34,PRESSURE_SENSOR_001,bar
5.14,PRESSURE_SENSOR_001,bar
