timestamp,location_id,parameter,value,unit,quality_index
2026-02-09T10:34:56.653703,SITE-100,co2,976.79,ppm,76.3
2026-02-09T10:49:56.653703,SITE-100,co2,971.84,ppm,76.8
2026-02-09T11:04:56.653703,SITE-100,co2,943.5,ppm,80.2
2026-02-09T11:19:56.653703,SITE-100,co2,955.31,ppm,78.8
2026-02-09T11:34:56.653703,SITE-100,co2,926.12,ppm,82.2
2026-02-09T11:49:56.653703,SITE-100,co2,962.27,ppm,78.0
2026-02-09T12:04:56.653703,SITE-100,co2,971.36,ppm,76.9
2026-02-09T12:19:56.653703,SITE-100,co2,952.61,ppm,79.1
2026-02-09T12:34:56.653703,SITE-100,co2,953.37,ppm,79.0
2026-02-09T12:49:56.653703,SITE-100,co2,966.24,ppm,77.5
2026-02-09T13:04:56.653703,SITE-100,co2,936.34,ppm,81.0
2026-02-09T13:19:56.653703,SITE-100,co2,967.34,ppm,77.4
2026-02-09T13:34:56.653703,SITE-100,co2,959.36,ppm,78.3
2026-02-09T13:49:56.653703,SITE-100,co2,980.12,ppm,75.9
2026-02-09T14:04:56.653703,SITE-100,co2,1006.82,ppm,72.7
2026-02-09T14:19:56.653703,SITE-100,co2,985.81,ppm,75.2
2026-02-09T14:34:56.653703,SITE-100,co2,1011.88,ppm,72.1
2026-02-09T14:49:56.653703,SITE-100,co2,1007.05,ppm,72.7
2026-02-09T15:04:56.653703,SITE-100,co2,983.99,ppm,75.4
2026-02-09T15:19:56.653703,SITE-100,co2,983.41,ppm,75.5
2026-02-09T15:34:56.653703,SITE-100,co2,1023.84,ppm,70.7
2026-02-09T15:49:56.653703,SITE-100,co2,976.54,ppm,76.3
2026-02-09T16:04:56.653703,SITE-100,co2,1009.91,ppm,72.4
2026-02-09T16:19:56.653703,SITE-100,co2,1010.49,ppm,72.3
2026-02-09T16:34:56.653703,SITE-100,co2,1014.26,ppm,71.9
2026-02-09T16:49:56.653703,SITE-100,co2,1000.62,ppm,73.5
2026-02-09T17:04:56.653703,SITE-100,co2,1032.03,ppm,69.8
2026-02-09T17:19:56.653703,SITE-100,co2,1060.63,ppm,66.4
2026-02-09T17:34:56.653703,SITE-100,co2,1046.57,ppm,68.1
2026-02-09T17:49:56.653703,SITE-100,co2,1041.78,ppm,68.6
2026-02-09T18:04:56.653703,SITE-100,co2,1070.16,ppm,65.3
2026-02-09T18:19:56.653703,SITE-100,co2,1085.67,ppm,63.5
2026-02-09T18:34:56.653703,SITE-100,co2,1061.52,ppm,66.3
2026-02-09T18:49:56.653703,SITE-100,co2,1057.04,ppm,66.8
2026-02-09T19:04:56.653703,SITE-100,co2,1102.33,ppm,61.5
2026-02-09T19:19:56.653703,SITE-100,co2,1103.91,ppm,61.3
2026-02-09T19:34:56.653703,SITE-100,co2,1135.57,ppm,57.6
2026-02-09T19:49:56.653703,SITE-100,co2,1101.11,ppm,61.6
2026-02-09T20:04:56.653703,SITE-100,co2,1099.34,ppm,61.8
2026-02-09T20:19:56.653703,SITE-100,co2,1080.79,ppm,64.0
2026-02-09T20:34:56.653703,SITE-100,co2,1097.6,ppm,62.0
2026-02-09T20:49:56.653703,SITE-100,co2,1144.1,ppm,56.6
2026-02-09T21:04:56.653703,SITE-100,co2,1101.26,ppm,61.6
2026-02-09T21:19:56.653703,SITE-100,co2,1123.42,ppm,59.0
2026-02-09T21:34:56.653703,SITE-100,co2,1106.49,ppm,61.0
2026-02-09T21:49:56.653703,SITE-100,co2,1079.79,ppm,64.1
2026-02-09T22:04:56.653703,SITE-100,co2,1120.41,ppm,59.4
2026-02-09T22:19:56.653703,SITE-100,co2,1132.42,ppm,58.0
2026-02-09T22:34:56.653703,SITE-100,co2,1128.09,ppm,58.5
2026-02-09T22:49:56.653703,SITE-100,co2,1108.16,ppm,60.8
2026-02-09T23:04:56.653703,SITE-100,co2,1123.75,ppm,59.0
2026-02-09T23:19:56.653703,SITE-100,co2,1096.53,ppm,62.2
2026-02-09T23:34:56.653703,SITE-100,co2,1103.5,ppm,61.4
2026-02-09T23:49:56.653703,SITE-100,co2,1112.66,ppm,60.3
2026-02-10T00:04:56.653703,SITE-100,co2,1095.96,ppm,62.2
2026-02-10T00:19:56.653703,SITE-100,co2,1107.19,ppm,60.9
2026-02-10T00:34:56.653703,SITE-100,co2,1099.24,ppm,61.9
2026-02-10T00:49:56.653703,SITE-100,co2,1096.68,ppm,62.2
2026-02-10T01:04:56.653703,SITE-100,co2,1115.56,ppm,59.9
2026-02-10T01:19:56.653703,SITE-100,co2,1105.9,ppm,61.1
2026-02-10T01:34:56.653703,SITE-100,co2,1060.73,ppm,66.4
2026-02-10T01:49:56.653703,SITE-100,co2,1102.35,ppm,61.5
2026-02-10T02:04:56.653703,SITE-100,co2,1080.39,ppm,64.1
2026-02-10T02:19:56.653703,SITE-100,co2,1091.4,ppm,62.8
